Object ID	Circularity 	Area 	Well 	Position 	Parent Object ID (Well)	Parent Trace ID	Cells
0	0.91822435	327	219	1	218	-1	0
1	0.92271672	529	219	1	218	-1	0
2	0.86165318	745	219	1	218	-1	0
3	0.90220618	213	219	1	218	-1	0
4	0.86751295	536	219	1	218	-1	0
5	0.94991184	820	219	1	218	-1	1
6	0.92928582	789	219	1	218	-1	1
7	0.74674271	200	219	1	218	-1	0
8	0.84230327	441	219	1	218	-1	0
9	0.87967194	491	219	1	218	-1	0
10	0.96870491	1288	219	1	218	-1	1
11	0.90321111	534	219	1	218	-1	0
12	0.91387397	1083	219	1	218	-1	0
13	0.91644432	252	219	1	218	-1	0
14	0.93894076	694	219	1	218	-1	1
15	0.96194111	1300	219	1	218	-1	1
16	0.91408813	708	219	1	218	-1	0
17	0.86654317	242	219	1	218	-1	0
18	0.89460495	121	219	1	218	-1	0
19	0.92484176	804	219	1	218	-1	0
20	0.79285022	475	219	1	218	-1	0
21	0.91969303	881	219	1	218	-1	0
22	0.93599953	801	219	1	218	-1	1
23	0.93452414	620	219	1	218	-1	0
24	0.88283439	714	219	1	218	-1	0
25	0.94482236	648	219	1	218	-1	1
26	0.92420627	1344	219	1	218	-1	0
27	0.77586184	172	219	1	218	-1	0
28	0.9692719	973	219	1	218	-1	1
29	0.83386748	1969	219	1	218	-1	0
30	0.91023587	1592	219	1	218	-1	0
31	0.92113624	671	219	1	218	-1	0
32	0.85064762	864	219	1	218	-1	0
33	0.9244129	838	219	1	218	-1	0
34	0.94460722	858	219	1	218	-1	1
35	0.98190935	1195	219	1	218	-1	1
36	0.96661093	660	219	1	218	-1	1
37	0.8089674	559	219	1	218	-1	0
38	0.91127128	1345	219	1	218	-1	0
39	0.91735787	785	219	1	218	-1	0
40	0.92554475	909	219	1	218	-1	1
41	0.92587039	561	219	1	218	-1	0
42	0.95915851	1055	219	1	218	-1	1
43	0.87927689	389	219	1	218	-1	0
44	0.84438646	581	219	1	218	-1	0
45	0.89164229	633	219	1	218	-1	0
46	0.93974973	834	219	1	218	-1	1
47	0.82834818	485	219	1	218	-1	0
48	0.88318645	933	219	1	218	-1	0
49	0.94532497	1203	219	1	218	-1	1
50	0.94098106	878	219	1	218	-1	1
51	0.93444743	401	219	1	218	-1	0
52	0.88539932	740	219	1	218	-1	0
53	0.94782377	791	219	1	218	-1	1
54	0.96005297	520	219	1	218	-1	1
55	0.92479051	621	219	1	218	-1	0
56	0.97216586	696	219	1	218	-1	1
57	0.87281572	234	219	1	218	-1	0
58	0.91559311	788	219	1	218	-1	0
59	0.92060893	604	219	1	218	-1	0
60	0.9728331	856	219	1	218	-1	1
61	0.88183529	508	219	1	218	-1	0
62	0.96539372	1512	219	1	218	-1	1
63	0.82692466	1216	219	1	218	-1	0
64	0.93909888	795	219	1	218	-1	1
65	0.93418396	370	219	1	218	-1	0
66	0.94092557	1146	219	1	218	-1	1
67	0.94955193	934	219	1	218	-1	1
68	0.96092452	658	219	1	218	-1	1
69	0.95983364	517	219	1	218	-1	1
70	0.94414235	876	219	1	218	-1	1
71	0.93177065	1638	219	1	218	-1	0
72	0.87827482	138	219	1	218	-1	0
73	0.95424095	916	219	1	218	-1	1
74	0.95159862	652	219	1	218	-1	1
75	0.93458057	298	219	1	218	-1	0
76	0.92379938	796	219	1	218	-1	0
77	0.8561027	715	219	1	218	-1	0
78	0.95046083	819	219	1	218	-1	1
79	0.95379062	619	219	1	218	-1	1
80	0.94142878	746	219	1	218	-1	1
81	0.96424456	1055	219	1	218	-1	1
82	0.91056938	1203	219	1	218	-1	0
83	0.95056251	825	219	1	218	-1	1
84	0.91491206	748	219	1	218	-1	0
85	0.95304783	891	219	1	218	-1	1
86	0.93053932	740	219	1	218	-1	0
87	0.88242848	337	219	1	218	-1	0
88	0.89134658	605	219	1	218	-1	0
89	0.94647229	974	219	1	218	-1	1
90	0.74835922	372	219	1	218	-1	0
91	0.83055674	531	219	1	218	-1	0
92	0.95823454	600	219	1	218	-1	1
93	0.95135705	761	219	1	218	-1	1
94	0.93249525	794	219	1	218	-1	1
95	0.94215361	1288	219	1	218	-1	1
96	0.84599354	468	219	1	218	-1	0
97	0.86400485	556	219	1	218	-1	0
98	0.8165324	673	219	1	218	-1	0
99	0.85788771	827	219	1	218	-1	0
100	0.94367466	1153	219	1	218	-1	1
101	0.90998147	654	219	1	218	-1	0
102	0.90404909	668	219	1	218	-1	0
103	0.96239844	1163	219	1	218	-1	1
104	0.94240753	717	219	1	218	-1	1
105	0.92360143	1357	219	1	218	-1	0
106	0.86053791	104	219	1	218	-1	0
107	0.91349731	624	219	1	218	-1	0
108	0.95986415	1221	219	1	218	-1	1
109	0.91310156	816	219	1	218	-1	0
110	0.85208164	431	219	1	218	-1	0
111	0.91271408	447	219	1	218	-1	0
112	0.97984466	866	219	1	218	-1	1
113	0.94127339	508	219	1	218	-1	0
114	0.83869767	590	219	1	218	-1	0
115	0.94301347	534	219	1	218	-1	1
116	0.75607645	320	219	1	218	-1	0
